relname,rls_enabled,force_rls,has_organization_id,has_user_col,policies,cmds,anon_select,authenticated_grant,service_role_grant
billing_invoices,t,f,t,f,2,ALL|SELECT,f,f,f
billing_payment_methods,t,f,t,f,2,ALL|SELECT,f,f,f
billing_payments,t,f,t,f,2,ALL|SELECT,f,f,f
billing_subscriptions,t,f,t,f,2,ALL|SELECT,f,f,f
browser_push_subscriptions,t,f,f,t,1,ALL,f,f,f
business_units,t,f,t,f,1,ALL,f,f,f
calendar_sync_config,t,f,t,t,1,ALL,f,f,f
churn_predictions,t,f,t,f,2,INSERT|SELECT,f,f,f
client_archetypes,t,f,t,f,2,ALL|SELECT,f,f,f
cnpj_cache,t,f,f,f,1,ALL,f,f,f
commercial_briefs,t,f,f,f,2,INSERT|SELECT,f,f,f
community_cases,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
community_discussion_replies,t,f,f,t,3,DELETE|INSERT|SELECT,f,f,f
community_discussions,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
community_suggestion_comments,t,f,f,t,3,DELETE|INSERT|SELECT,f,f,f
community_suggestion_votes,t,f,f,t,3,DELETE|INSERT|SELECT,f,f,f
community_suggestions,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
contact_enrichment_queue,t,f,f,f,2,INSERT|SELECT,f,f,f
contacts,t,f,t,f,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
contracts,t,f,t,t,6,DELETE|INSERT|SELECT|UPDATE,f,f,f
conversation_logs,t,f,t,t,2,ALL|SELECT,f,f,f
conversion_alerts,t,f,t,f,2,ALL|SELECT,f,f,f
conversion_benchmarks,t,f,t,f,2,ALL|SELECT,f,f,f
crm_business_functions,t,f,f,f,2,ALL|SELECT,f,f,f
crm_closer_dashboard_views,t,f,f,f,2,INSERT|SELECT,f,f,f
crm_dashboard_profiles,t,f,f,f,2,ALL|SELECT,f,f,f
crm_dashboard_resolution_logs,t,f,f,t,1,SELECT,f,f,f
crm_departments,t,f,f,f,2,ALL|SELECT,f,f,f
crm_dynamic_dashboard_feedback,t,f,f,t,2,INSERT|SELECT,f,f,f
crm_dynamic_dashboard_pilot_logs,t,f,f,f,1,SELECT,f,f,f
