relname,rls_enabled,force_rls,has_organization_id,has_user_col,policies,cmds,anon_select,authenticated_grant,service_role_grant
stage_progression_suggestions,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
stages,t,f,t,f,4,ALL|DELETE|INSERT|UPDATE,f,f,f
subscriptions,t,f,t,f,1,SELECT,f,f,f
success_plans,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
support_ticket_responses,t,f,f,t,2,INSERT|SELECT,f,f,f
support_tickets,t,f,t,t,3,INSERT|SELECT|UPDATE,f,f,f
suppressed_emails,t,f,f,f,2,INSERT|SELECT,f,f,f
sync_logs,t,f,t,t,4,INSERT|SELECT|UPDATE,f,f,f
system_events,t,f,t,f,3,INSERT|SELECT,f,f,f
tags,t,f,t,f,3,ALL|DELETE|INSERT,f,f,f
team_members,t,f,t,t,2,ALL|SELECT,f,f,f
teams,t,f,t,f,2,ALL|SELECT,f,f,f
territories,t,f,t,f,2,ALL|SELECT,f,f,f
territory_assignments,t,f,t,t,2,ALL|SELECT,f,f,f
timeline_events,t,f,t,f,3,INSERT|SELECT,f,f,f
trial_blocks,t,f,t,f,1,SELECT,f,f,f
trial_fingerprints,t,f,t,t,1,SELECT,f,f,f
trial_notifications,t,f,t,f,1,SELECT,f,f,f
usage_counters,t,f,t,f,4,INSERT|SELECT|UPDATE,f,f,f
user_access_logs,t,f,t,t,3,INSERT|SELECT,f,f,f
user_first_visits,t,f,f,t,2,INSERT|SELECT,f,f,f
user_invitations,t,f,t,f,2,ALL|SELECT,f,f,f
user_roles,t,f,f,t,1,SELECT,f,f,f
user_smtp_configs,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
vibe_alerts,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
vibe_narratives,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
vibe_state_history,t,f,t,f,2,INSERT|SELECT,f,f,f
video_library,t,f,t,f,2,ALL|SELECT,f,f,f
video_recommendations,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
win_loss_records,t,f,t,f,2,ALL|SELECT,f,f,f
win_reasons,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
winloss_factors,t,f,t,f,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
winloss_interviews,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
winloss_revenue_simulations,t,f,t,f,2,INSERT|SELECT,f,f,f
workflow_executions,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
workflow_rules,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
xp_conversion_history,t,f,t,f,1,SELECT,f,f,f
